Date;Vanguard S&P 500 Price (USD);Vanguard S&P 500 Price (Rand);Satrix 40 Price (Rand);Satrix Indi Price (Rand);Sygnia Itrix MSCI World Price (Rand);USD ZAR Exchange rate;Vanguard S&P 500 Price (USD) - Trend;Vanguard S&P 500 Price (Rand) - Trend;Satrix 40 Price (Rand) - Trend;Satrix Indi Price (Rand) - Trend;Sygnia Itrix MSCI World Price (Rand) - Trend;USD ZAR Exchange rate - Trend
10-Nov;108;769;2694;2550;858;7.1088;85;169;2875;3422;562;7.74066222004917
10-Dec;115;760;2855;2670;855;6.5995;86;209;2899;3461;590;7.80717678945915
11-Jan;118;845;2808;2572;944;7.1755;88;251;2924;3501;618;7.8759085111828
11-Feb;122;842;2890;2623;940;6.9135;91;292;2949;3541;647;7.94464023290644
11-Mar;121;820;2908;2691;922;6.7656;92;330;2972;3578;673;8.00672049768909
11-Apr;125;819;2964;2793;925;6.5656;94;371;2997;3618;701;8.07545221941272
11-May;123;839;2947;2824;943;6.8042;96;411;3021;3657;729;8.14196678882271
11-Jun;121;814;2850;2775;905;6.743;98;453;3046;3697;757;8.21069851054635
11-Jul;118;789;2790;2766;876;6.6725;100;493;3070;3736;785;8.27721307995633
11-Aug;112;780;2778;2773;854;6.9865;102;534;3095;3776;813;8.34594480167998
11-Sep;104;833;2640;2654;895;8.0463;104;576;3120;3817;842;8.41467652340361
11-Oct;115;910;2912;2930;969;7.9406;106;616;3144;3856;870;8.4811910928136
11-Nov;114;927;2903;2942;962;8.1115;108;658;3169;3896;898;8.54992281453724
11-Dec;115;927;2851;2885;949;8.065;110;698;3193;3935;926;8.61643738394721
12-Jan;120;938;3001;2974;963;7.81;112;739;3218;3975;954;8.68516910567087
12-Feb;125;937;3050;3097;975;7.4848;114;781;3243;4016;983;8.7539008273945
12-Mar;129;985;2971;3160;1012;7.65;116;819;3266;4053;1010;8.81819824449082
12-Apr;128;993;3051;3260;1000;7.7604;118;861;3291;4094;1038;8.88692996621447
12-May;120;1022;2945;3204;1003;8.503;120;901;3315;4133;1066;8.95344453562444
12-Jun;125;1016;2955;3221;997;8.16;122;943;3340;4173;1094;9.02217625734808
12-Jul;126;1035;3043;3434;1028;8.2088;124;983;3364;4212;1122;9.08869082675807
12-Aug;129;1085;3127;3633;1082;8.395;126;1024;3389;4252;1150;9.1574225484817
12-Sep;132;1095;3152;3580;1089;8.3047;128;1066;3414;4293;1179;9.22615427020536
12-Oct;129;1121;3306;3741;1136;8.6692;130;1106;3438;4332;1207;9.29266883961533
12-Nov;130;1155;3389;3946;1167;8.8854;132;1147;3463;4372;1235;9.36140056133897
12-Dec;130;1102;3487;4043;1155;8.4512;134;1187;3487;4411;1263;9.42791513074896
13-Jan;137;1228;3611;4181;1258;8.9528;136;1229;3512;4451;1291;9.49664685247259
13-Feb;139;1247;3519;4189;1263;8.975;138;1270;3537;4491;1320;9.56537857419625
13-Mar;143;1321;3532;4293;1328;9.2175;140;1308;3560;4528;1346;9.62745883897888
13-Apr;146;1311;3420;4292;1333;8.9653;142;1349;3585;4568;1374;9.69619056070253
13-May;150;1503;3773;4767;1509;10.043;144;1390;3609;4607;1402;9.76270513011251
13-Jun;147;1442;3477;4575;1428;9.83;146;1431;3634;4647;1430;9.83143685183616
13-Jul;154;1516;3687;4771;1499;9.818;148;1471;3658;4686;1458;9.89795142124613
13-Aug;150;1531;3805;4847;1513;10.23;150;1513;3683;4727;1486;9.96668314296977
13-Sep;154;1543;3949;5102;1551;10.0205;152;1554;3708;4767;1515;10.0354148646934
13-Oct;161;1609;4072;5230;1610;9.9999;154;1594;3732;4806;1543;10.1019294341034
13-Nov;166;1683;4028;5238;1672;10.155;156;1636;3757;4846;1571;10.170661155827
13-Dec;169;1767;4144;5450;1744;10.447;158;1676;3781;4885;1599;10.237175725237
14-Jan;163;1813;4055;5164;1789;11.109;160;1717;3806;4926;1627;10.3059074469607
14-Feb;171;1835;4270;5429;1800;10.7565;162;1759;3831;4966;1656;10.3746391686843
14-Mar;171;1803;4324;5484;1773;10.5225;164;1796;3854;5002;1682;10.4367194334669
14-Apr;173;1808;4404;5555;1779;10.473;166;1838;3878;5043;1710;10.5054511551906
14-May;177;1865;4503;5854;1824;10.566;168;1878;3903;5082;1738;10.5719657246006
14-Jun;179;1908;4591;5958;1853;10.634;170;1920;3928;5122;1766;10.6406974463242
14-Jul;177;1894;4630;5900;1844;10.702;172;1960;3952;5161;1794;10.7072120157342
14-Aug;184;1961;4588;5984;1861;10.6595;174;2001;3977;5201;1822;10.7759437374578
14-Sep;181;2037;4422;5848;1974;11.2805;176;2043;4002;5241;1851;10.8446754591815
14-Oct;185;2041;4454;6078;1878;11.0345;178;2083;4026;5280;1879;10.9111900285915
14-Nov;190;2105;4442;6201;1924;11.076;180;2124;4051;5321;1907;10.9799217503151
14-Dec;188;2179;4405;6244;1995;11.566;182;2164;4075;5360;1935;11.0464363197251
15-Jan;183;2131;4511;6440;1958;11.6435;184;2206;4100;5400;1963;11.1151680414487
15-Feb;193;2253;4725;6633;2064;11.663;186;2247;4125;5440;1992;11.1838997631724
15-Mar;189;2294;4625;6598;2127;12.1255;188;2285;4147;5477;2018;11.245980027955
15-Apr;191;2276;4854;6883;2135;11.909;190;2326;4172;5517;2046;11.3147117496787
15-May;193;2352;4672;6669;2180;12.1531;192;2366;4196;5556;2074;11.3812263190886
15-Jun;189;2297;4618;6682;2118;12.1649;194;2408;4221;5596;2102;11.4499580408123
15-Jul;193;2445;4665;6777;2221;12.671;196;2448;4245;5635;2130;11.5164726102223
15-Aug;181;2402;4447;6454;2180;13.261;198;2490;4270;5676;2158;11.5852043319459
15-Sep;176;2432;4508;6736;2187;13.8406;200;2531;4295;5716;2187;11.6539360536696
15-Oct;191;2633;4857;7315;2368;13.8185;202;2571;4319;5755;2215;11.7204506230795
15-Nov;191;2765;4652;7238;2458;14.4479;204;2613;4344;5795;2243;11.7891823448032
15-Dec;187;2890;4584;7175;2616;15.4615;206;2653;4368;5834;2271;11.8556969142132
16-Jan;178;2821;4375;6967;2468;15.871;208;2694;4393;5875;2299;11.9244286359368
16-Feb;177;2813;4382;6793;2483;15.8565;210;2736;4418;5915;2328;11.9931603576604
16-Mar;189;2784;4613;7104;2435;14.7637;212;2775;4442;5953;2354;12.0574577747568
16-Apr;189;2693;4695;7032;2378;14.2295;214;2816;4467;5993;2383;12.1261894964804
16-May;193;3024;4846;7439;2660;15.7081;216;2856;4491;6032;2411;12.1927040658904
16-Jun;192;2821;4605;7108;2395;14.68;218;2898;4516;6072;2439;12.261435787614
16-Jul;199;2765;4607;7064;2380;13.875;220;2938;4540;6111;2467;12.327950357024
16-Aug;200;2939;4647;7174;2513;14.73;222;2979;4565;6151;2495;12.3966820787476
16-Sep;199;2724;4555;6846;2353;13.71;224;3021;4590;6192;2524;12.4654138004713
16-Oct;195;2626;4408;6606;2304;13.46;226;3061;4614;6231;2551;12.5319283698813
16-Nov;202;2850;4400;6337;2403;14.08;228;3103;4639;6271;2580;12.6006600916049
16-Dec;205;2819;4372;6411;2408;13.7311;230;3143;4663;6310;2608;12.6671746610149
17-Jan;209;2813;4589;6719;2393;13.4601;232;3184;4688;6350;2636;12.7359063827385
17-Feb;217;2847;4432;6596;2385;13.1149;234;3226;4713;6391;2665;12.8046381044622
17-Mar;216;2903;4550;6844;2472;13.4197;235;3263;4735;6427;2690;12.8667183692448
17-Apr;219;2921;4727;7251;2507;13.3618;237;3305;4760;6467;2719;12.9354500909685
17-May;222;2904;4701;7357;2526;13.1015;239;3345;4784;6506;2747;13.0019646603784
17-Jun;222;2897;4595;7066;2519;13.0476;241;3386;4809;6547;2775;13.0706963821021
17-Jul;227;2984;4809;7496;2585;13.1653;243;3426;4833;6586;2803;13.1372109515121
17-Aug;227;2953;5014;7618;2544;12.9902;245;3468;4858;6626;2831;13.2059426732357
17-Sep;231;3126;4947;7590;2690;13.5461;247;3509;4883;6666;2860;13.2746743949593
17-Oct;236;3335;5289;8223;2906;14.1239;249;3549;4907;6705;2887;13.3411889643693
17-Nov;243;3332;5371;8370;2830;13.691;251;3591;4932;6745;2916;13.409920686093
17-Dec;245;3031;5271;7947;2616;12.3574;253;3631;4957;6784;2944;13.4764352555029
18-Jan;259;3071;5272;7945;2640;11.8575;255;3673;4981;6825;2972;13.5451669772266
18-Feb;249;2939;5148;7651;2539;11.7883;257;3714;5006;6865;3001;13.6138986989502
18-Mar;242;2864;4940;7354;2492;11.831;259;3752;5029;6901;3026;13.6759789637329
18-Apr;243;3028;5151;7695;2628;12.4638;261;3793;5054;6942;3055;13.7447106854565
18-May;249;3158;5020;7307;2663;12.695;263;3833;5078;6981;3083;13.8112252548665
18-Jun;250;3424;5060;7482;2912;13.7225;265;3875;5103;7021;3111;13.8799569765902
18-Jul;258;3429;5145;7398;2819;13.27;267;3915;5127;7060;3139;13.9464715460001
18-Aug;267;3915;5250;7569;3193;14.68;269;3956;5152;7100;3167;14.0152032677238
18-Sep;267;3776;5008;6900;3102;14.1398;271;3998;5177;7141;3196;14.0839349894474
18-Oct;249;3678;4615;6300;3021;14.7848;273;4038;5201;7180;3223;14.1504495588574
18-Nov;253;3513;4552;6270;2833;13.8592;275;4079;5226;7220;3252;14.219181280581
18-Dec;230;3297;4699;6360;2742;14.3473;277;4120;5250;7259;3280;14.285695849991
19-Jan;248;3286;4797;6359;2682;13.2477;279;4161;5275;7299;3308;14.3544275717147
19-Feb;256;3605;4973;6639;2938;14.0797;281;4203;5300;7340;3337;14.4231592934383
19-Mar;260;3759;5065;6755;3065;14.4825;283;4240;5323;7376;3362;14.485239558221
19-Apr;270;3859;5267;7124;3141;14.2935;285;4281;5348;7416;3391;14.5539712799446
19-May;253;3687;4991;6732;3020;14.58;287;4322;5372;7455;3419;14.6204858493546
19-Jun;269;3788;5265;7052;3101;14.0733;289;4363;5397;7496;3447;14.6892175710782
19-Jul;273;3915;5098;7102;3145;14.3364;291;4403;5421;7535;3475;14.7557321404882
19-Aug;269;4077;4939;6871;3283;15.18;293;4445;5446;7575;3503;14.8244638622118
19-Sep;273;4125;4957;6819;3362;15.133;295;4486;5471;7615;3532;14.8931955839355
19-Oct;279;4204;5043;6812;3394;15.093;297;4526;5495;7654;3559;14.9597101533455
19-Nov;289;4225;4921;6639;3390;14.6385;299;4568;5520;7694;3588;15.0284418750691
19-Dec;296;4139;5108;6769;3336;13.9937;301;4608;5544;7733;3616;15.0949564444791
20-Jan;296;4434;5011;6867;3538;14.9958;303;4650;5569;7774;3644;15.1636881662027
20-Feb;272;4256;4607;6432;3304;15.6619;305;4691;5594;7814;3673;15.2324198879264
20-Mar;237;4225;4093;6218;3346;17.8402;307;4730;5617;7852;3699;15.2967173050227
20-Apr;267;4946;4659;6746;3766;18.5166;309;4771;5642;7892;3728;15.3654490267463
20-May;280;4907;4696;6691;3757;17.5405;311;4811;5666;7931;3755;15.4319635961563
20-Jun;283;4909;5038;7161;3841;17.321;313;4853;5691;7971;3784;15.50069531788
20-Jul;300;5104;5134;7036;3936;17.0088;315;4893;5715;8010;3812;15.5672098872899
20-Aug;321;5437;5145;7104;4165;16.9361;317;4935;5740;8051;3840;15.6359416090136
20-Sep;308;5148;5073;7036;4007;16.7339;319;4976;5765;8091;3869;15.7046733307372
20-Oct;300;4870;4757;6945;3754;16.2438;321;5016;5789;8130;3896;15.7711879001472
20-Nov;333;5145;5228;7580;4035;15.4662;323;5058;5814;8170;3925;15.8399196218708
20-Dec;344;5048;5460;7516;4002;14.6878;325;5098;5838;8209;3952;15.9064341912808
21-Jan;340;5156;5751;8058;4076;15.1575;327;5139;5863;8249;3981;15.9751659130045
21-Feb;350;5276;6093;8218;4145;15.0926;329;5181;5888;8290;4010;16.0438976347281
21-Mar;364;5379;6162;8381;4156;14.7665;331;5218;5911;8326;4035;16.1059778995108
21-Apr;384;5559;6157;8305;4271;14.4938;333;5260;5936;8366;4064;16.1747096212344
21-May;386;5297;6223;8502;4116;13.7183;335;5300;5960;8405;4091;16.2412241906444
21-Jun;394;5615;6066;8563;4298;14.2676;337;5341;5985;8446;4120;16.309955912368
21-Jul;403;5871;6300;8669;4471;14.5622;339;5382;6009;8485;4148;16.376470481778
21-Aug;415;6023;6144;8235;4570;14.5112;341;5423;6034;8525;4176;16.4452022035017
21-Sep;394;5951;5934;8151;4566;15.0884;343;5464;6059;8565;4205;16.5139339252253
21-Oct;422;6418;6106;8614;4824;15.2038;345;5505;6083;8604;4232;16.5804484946353
21-Nov;419;6652;6434;9207;4993;15.8735;347;5546;6108;8645;4261;16.6491802163589
21-Dec;437;6982;6720;9426;5146;15.9921;349;5586;6132;8684;4288;16.7156947857689
