Date;Vanguard S&P 500 Price (R100k);Satrix 40 Price (R100k);Satrix Indi Price (R100k);Sygnia Itrix MSCI World Price (R100k)
23-May;100000;100000;100000;100000
23-Jun;100653;100382;100438;100609
23-Jul;101290;100749;100855;101197
23-Aug;101959;101131;101283;101785
23-Sep;102612;101513;101711;102394
23-Oct;103265;101880;102128;102961
23-Nov;103918;102262;102566;103570
23-Dec;104555;102629;102983;104137
24-Jan;105224;103011;103411;104746
24-Feb;105877;103393;103839;105334
24-Mar;106498;103744;104245;105901
24-Apr;107151;104126;104673;106510
24-May;107804;104493;105090;107077
24-Jun;108457;104875;105518;107686
24-Jul;109094;105257;105935;108253
24-Aug;109763;105624;106373;108862
24-Sep;110416;106006;106801;109471
24-Oct;111053;106388;107218;110038
24-Nov;111722;106770;107646;110647
24-Dec;112359;107137;108063;111214
25-Jan;113012;107519;108501;111823
25-Feb;113681;107901;108929;112411
25-Mar;114270;108237;109314;112957
25-Apr;114939;108619;109752;113566
25-May;115576;108986;110169;114133
